Sample_ID	CRT	IRT	RBT	WCT	YCT
Howard_22_09	0.378935613	0.617903306	0.996838919	0.001877784	0.001283297
Howard_22_10	0.532433851	0.465364342	0.997798193	0.00060177	0.001600037
Howard_22_11	0.551566165	0.443460647	0.995026812	0.001929736	0.003043452
Howard_22_13	0.507454521	0.490579067	0.998033589	0.001966411	0
Howard_22_14	0.519924615	0.478382275	0.998306891	0.001693109	0
Howard_22_15	0.480435081	0.517861368	0.998296449	0.001703551	0
Howard_22_16	0.570578602	0.428334163	0.998912766	0.001087234	0
Howard_22_17	0.478390899	0.518409693	0.996800592	0.003199408	0
Howard_22_18	0.576013277	0.422908241	0.998921518	0.001078482	0
Howard_22_19	0.520245002	0.477753309	0.997998311	0.001982363	0.0000193
HW1_23_01	2.1045E-06	0.99514666	0.995148765	0.004851235	0
HW1_23_02	9.87594E-05	0.997217138	0.997315898	0.002684102	0
HW1_23_03	3.53114E-05	0.996326479	0.99636179	0.00363821	0
HW1_23_05	0.000209824	0.996133036	0.996342861	0.003657139	0
HW1_23_06	0	0.997323569	0.997323569	0.002676431	0
HW1_23_07	7.49855E-05	0.99685537	0.996930356	0.003069644	0
HW1_23_08	0.000229013	0.996575769	0.996804782	0.003195218	0
HW1_23_09	4.16069E-05	0.997426294	0.997467901	0.002532099	0
HW1_23_10	3.18817E-05	0.997147955	0.997179837	0.002820163	0
HW1_23_13	0.000093983	0.997220211	0.997314194	0.002685806	0
HW2_23_01	0.000185585	0.995376106	0.995561691	0.004438309	0
HW2_23_02	0.000217128	0.995211217	0.995428346	0.004571654	0
HW2_23_03	0.000144707	0.996166716	0.996311424	0.003688576	0
HW2_23_04	0.000046427	0.996104586	0.996151013	0.003848987	0
HW3_23_01	0	1	1	0	0
HW3_23_02	0.000225975	0.996825715	0.99705169	0.00294831	0
HW3_23_03	0	0.997291276	0.997291276	0.002708724	0
HW3_23_04	7.9623E-08	0.996939321	0.996939401	0.003060599	0
HW3_23_05	0	1	1	0	0
HW3_23_06	0	0.997035765	0.997035765	0.002964235	0
HW3_23_07	0.000218643	0.996449572	0.996668215	0.003331785	0
